ID,shortName,longName,altName,saintType,feastRank,color,month,day,feastStation,feastInfo,properMass,massExceptions
v724,Vig. St. James,,,S,vgl4,purple,7,24,,,,
c724,St. Christina,,,VM,smpl,red,7,24,,,,
s725,St. James,Saint James the Greater,,S,dbl2,red,7,25,,,,
c725,St. Christopher,,,M,smpl,red,7,25,,,,
s726,St. Anne,"Saint Anne, Moither of the BVM",,,dbl2,white,7,26,,,,
c727,St. Pantaleon,,,M,smpl,red,7,27,,,,
s728,Ss. Nazarius et al.,"Saints Nazarius, Celsus, Victor I, and Innocent I",,MM,dbl5,red,7,28,,,,
s729,St. Martha,,,V,dbl5,white,7,29,,,,
c729,Ss. Felix II et al.,"Saints Felix II, Simplicius, Faustinus, and Beatrice",,MM,smpl,red,7,29,,,,
c730,Ss. Abdon & Sennen,,,MM,smpl,red,7,30,,,,
s731,St. Ignatius of Loyola,,,C,dbl4,white,7,31,,,,
s801,Lammas,Saint Peter's Chains,"Lammas (Loaf-Mass, the Blessing of the Harvest)",z,dbl3,white,8,1,,,,
c801,Machabees,The Martyrdom of the Holy Machabees,,MM,smpl,red,8,1,,,,
s802,St. Alphonsus Liguori,Saint Alphonsus Mary de Liguori,,BCD,dbl4,white,8,2,,,,
c802,St. Stephen I,,,PM,smpl,red,8,2,,,,
s803,Finding of St. Stephen,"Finding of the Body of Saint Stephen, Protomartyr",,,dbl5,red,8,3,,,,
s804,St. Dominic,,,C,dbl3,white,8,4,,,,
d805,OL Snows,Dedication of the Church of Our Lady of the Snows,,,dbl3,white,8,5,,,,
j806,Transfiguration,,,,dbl2,white,8,6,,,,
c806,Ss. Xystus et al.,"Saints Xystus, Felicissimus, and Agapitus",,MM,smpl,red,8,6,,,,
s807,St. Cajetan,,,C,dbl4,white,8,7,,,,
c807,St. Donatus,,,BM,smpl,red,8,7,,,,
s808,Ss. Cyriacus et al.,"Saints Cyriacus, Largus, and Smaragdus",,MM,dbl5,red,8,8,,,,
s809,St. John Mary Vianney,,,C,dbl4,white,8,9,,,,
v809,Vig. Ss. Lawrence & Romanus,,,MM,vgl4,purple,8,9,,,,
s810,St. Lawrence,,,M,dbl2,red,8,10,,,,
o817,,Octave Day of Saint Lawrence,,M,ocd5,red,8,17,,,,
c811,Ss. Tibertius & Susanna,,,VVMM,smpl,red,8,11,,,,
s812,St. Clare,,,V,dbl4,white,8,12,,,,
c813,Ss. Hippolytus & Cassian,,,MM,smpl,red,8,13,,,,
v814,Vig. Assumption,,,,vgl4,purple,8,14,,,,
c814,St. Eusebius,,,C,smpl,white,8,14,,,,
b815,Assumption,,,,dbl1,blue,8,15,,,,
s816,St. Joachim,"Saint Joachim, Father of the BVM",,C,dbl2,white,8,16,,,,
o816,,Feria I in the Octave of the Assumption,,,oct4,blue,8,16,,,,
b817,,Feria II in the Octave of the Assumption,,,oct4,blue,8,17,,,,
o818,,Feria III in the Octave of the Assumption,,,oct4,blue,8,18,,,,
o819,,Feria IV in the Octave of the Assumption,,,oct4,blue,8,19,,,,
o820,,Feria V in the Octave of the Assumption,,,oct4,blue,8,20,,,,
o821,,Feria VI in the Octave of the Assumption,,,oct4,blue,8,21,,,,
o822,,Octave Day of the Assumption,,,ocd4,blue,8,22,,,,
s817,St. Hyacinth,,,C,dbl4,white,8,17,,,,
c818,St. Agapitus,,,M,smpl,red,8,18,,,,
s819,St. John Eudes,,,C,dbl4,white,8,19,,,,
s820,St. Bernard,,,AD,dbl4,white,8,20,,,,
s821,St. Jane Frances de Chantal,,,W,dbl4,white,8,21,,,,
b822,Immaculate Heart,,,,dbl2,blue,8,22,,,,
c822,Ss. Timothy et al.,"Saints Timothy, Hippolytus, and Symphorian",,MM,smpl,red,8,22,,,,
s823,St. Philip Benizi,,,C,dbl4,white,8,23,,,,
v823,Vig. St. Bartholomew,,,S,vgl4,purple,8,23,,,,
s824,St. Bartholomew,,,S,dbl2,red,8,24,,,,
s825,St. Louis,,,KC,dbl5,white,8,25,,,,
c826,St. Zephyrinus,,,PM,smpl,red,8,26,,,,
